2024-01-23 09:01:05.512 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 501.0 | Позиция сейчас : 1
2024-01-23 09:01:10.700 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 501.0 | Позиция сейчас : 1
2024-01-23 09:01:24.044 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 501.0 | Позиция сейчас : 1
2024-01-23 09:02:39.065 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:02:42.875 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 511.0 | Позиция сейчас : 1
2024-01-23 09:02:45.433 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:02:48.672 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 511.0 | Позиция сейчас : 1
2024-01-23 09:02:58.494 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:03:01.877 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 511.0 | Позиция сейчас : 1
2024-01-23 09:07:15.198 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:07:19.119 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 521.0 | Позиция сейчас : 1
2024-01-23 09:07:26.499 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:07:29.576 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 521.0 | Позиция сейчас : 1
2024-01-23 09:07:32.054 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:07:35.235 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 521.0 | Позиция сейчас : 1
2024-01-23 09:11:00.967 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:11:04.750 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 531.0 | Позиция сейчас : 1
2024-01-23 09:11:07.351 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:11:10.883 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 531.0 | Позиция сейчас : 1
2024-01-23 09:11:15.901 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:11:19.466 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 531.0 | Позиция сейчас : 1
2024-01-23 09:11:22.032 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:11:25.366 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 531.0 | Позиция сейчас : 1
2024-01-23 09:13:26.670 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:29.204 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:31.708 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:34.119 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:36.598 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:39.053 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:41.539 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:43.978 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:46.483 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:48.895 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:51.289 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:53.770 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:56.270 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:13:58.577 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:01.060 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:03.537 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:06.057 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:08.569 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:11.078 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:13.490 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:15.977 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:18.494 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:20.904 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:23.357 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:25.866 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:28.414 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:31.103 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:33.676 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:36.185 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:38.690 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:41.204 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:14:43.681 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
